1; ; ; ; ; ; ; ; ;;;
43;1918;457;184;-485;34;553;1072;;;;
77;108;108;108;108;108;108;108;;;;
80;0;0;0;0;0;0;0;;;;
81;1397;-2784;-2037;-1561;-1374;-2307;-146;;;;
83;571;580;589;598;607;616;625;;;;
100;2916;302;-1192;-446;300;1046;1046;;;;
316;11052;4050;4968;1884;-2478;9528;18060;;;;
612;31842;32640;34398;27250;46048;68206;82178;;;;
618;25314;29903;5164;4202;16903;50612;72322;;;;
624;56752;59028;48408;43824;48180;51912;56896;;;;
3416;0;0;0;0;0;0;0;;;;
6412;0;0;0;0;0;0;0;;;;
6418;1462;1462;1462;1462;1462;1462;1462;;;;
6424;722;722;722;722;722;722;722;;;;
 ;;;;;;;;;;;
11; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;0;0;0;0;0;0;0;;;;
41;-74;-788;-92;-484;306;1352;2528;;;;
43;332;452;572;682;782;882;1022;;;;
77;0;0;0;0;0;0;0;;;;
80;0;0;0;0;0;0;0;;;;
81;845;-640;-873;-2594;-2108;-902;418;;;;
83;25;65;105;145;185;225;133;;;;
100;0;0;0;0;0;0;0;;;;
316;813;4965;5721;7005;11493;15981;18321;;;;
612;2172;3780;2100;4980;13740;22500;27540;;;;
618;674;11230;12282;18534;32034;45534;53034;;;;
624;1040;3184;4652;3832;8132;12432;14732;;;;
3416;0;0;0;0;0;0;0;;;;
6412;0;0;0;0;0;0;0;;;;
6418;0;0;0;0;0;0;0;;;;
6424;0;0;0;0;0;0;0;;;;
 ;;;;;;;;;;;
12; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;0;0;0;0;0;0;0;;;;
41;4388;4336;2101;2138;-2177;-85;1488;;;;
43;988;1032;680;328;-24;20;64;;;;
77;0;0;0;0;0;0;0;;;;
80;0;0;0;0;0;0;0;;;;
81;-1181;-983;-1532;-1505;-1830;1648;3515;;;;
83;0;0;0;0;0;0;0;;;;
100;2800;2473;2986;3499;4012;4525;5038;;;;
316;19887;22651;25353;4823;661;8177;11935;;;;
612;52599;50833;27030;16427;304;8618;16735;;;;
618;31059;36381;15226;-2393;-15228;1742;13659;;;;
624;20072;16768;5756;3896;-6492;188;3528;;;;
3416;0;0;0;0;0;0;0;;;;
6412;0;0;0;0;0;0;0;;;;
6418;728;728;728;728;728;728;728;;;;
6424;520;520;520;520;520;520;520;;;;
 ;;;;;;;;;;;
13; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;0;0;0;0;0;0;0;;;;
41;3744;481;-15;1623;-355;-1491;147;;;;
43;3360;4548;4944;6132;7320;8508;9696;;;;
77;7;7;7;7;7;7;7;;;;
80;0;0;0;0;0;0;0;;;;
81;2468;147;-2180;-1748;-2468;-1835;-859;;;;
83;2148;2544;2940;3336;3732;4128;4524;;;;
100;926;1321;1716;2111;2506;2901;3296;;;;
316;93618;99382;105674;102484;94014;101362;105036;;;;
612;50605;36169;20533;-845;97;10141;14683;;;;
618;72607;49045;47323;16198;2129;2279;11090;;;;
624;35502;27838;22254;17382;8766;12126;14534;;;;
3416;54;54;54;54;54;54;54;;;;
6412;0;0;0;0;0;0;0;;;;
6418;170;170;170;170;170;170;170;;;;
6424;115;115;115;115;115;115;115;;;;
 ;;;;;;;;;;;
14; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;0;0;0;0;0;0;0;;;;
41;1391;1391;1391;335;335;335;335;;;;
43;0;0;0;0;0;0;0;;;;
77;0;0;0;0;0;0;0;;;;
80;0;0;0;0;0;0;0;;;;
