1;;;;;;;;
316;11404;15980;19148;21524;23900;28476;33052;
612;9444;17724;24724;29764;34804;44038;53038;
618;9320;23820;34820;42320;49820;63120;76420;
624;7880;12080;15680;18080;20480;24680;28880;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;336;560;784;896;1008;1232;1456;
6424;96;176;256;296;336;416;496;

12;;;;;;;;
;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;
21;0;0;0;0;0;0;0;
41;6994;10160;11742;14908;16490;19656;19654;
43;10;10;10;10;10;10;10;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;2286;5823;7934;11471;13582;17119;16887;
83;0;0;0;0;0;0;0;
100;2352;2937;3522;4107;4692;5277;5862;
316;30504;38006;41757;49259;53010;60512;64263;
612;22720;38484;46366;62130;70012;85776;93658;
618;8876;34174;46823;72121;84770;110068;122717;
624;8538;14570;17586;23618;26634;32666;35682;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;728;728;728;728;728;728;728;
6424;520;520;520;520;520;520;520;

13;;;;;;;;
;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;
21;0;0;0;0;0;0;0;
41;5236;7594;9952;11729;13506;15864;18240;
43;908;1397;1886;2375;2864;3353;3842;
77;-1;-1;-1;-1;-1;-1;-1;
80;0;0;0;0;0;0;0;
81;2831;5597;7835;10029;12223;14458;17462;
83;450;869;1288;1707;2126;2545;2832;
100;1575;1961;2347;2733;3119;3891;4277;
316;73047;81871;90695;95107;99519;108343;112755;
612;57686;75788;93890;102941;111992;130094;139145;
618;32552;58190;83828;96647;109466;135104;147923;
624;6248;12996;19744;23118;26492;33240;36614;
3416;54;54;54;54;54;54;54;
6412;0;0;0;0;0;0;0;
6418;224;224;224;224;224;224;224;
6424;315;315;315;315;315;315;315;

14;;;;;;;;
;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;
